source_id,platform,export_date,published_at,brand,object_type,comment,likes,evidence_role
NS-001,Synthetic Social,2026-07-03,2026-06-01,Kairo Running,product,配色很克制，穿去上班也不会太像专业选手,212,consumer
NS-002,Synthetic Social,2026-07-03,2026-06-02,Kairo Running,product,脚感稳定但第一眼不够兴奋,184,consumer
NS-003,Synthetic Social,2026-07-03,2026-06-03,Kairo Running,event,线下试跑的人很友好，没有配速鄙视,163,consumer
NS-004,Synthetic Social,2026-07-03,2026-06-04,Kairo Running,content,品牌内容像一本冷静的训练手册,148,consumer
NS-005,Synthetic Social,2026-07-03,2026-06-05,Kairo Running,product,适合长期跑，不像拿来拍一张照片的鞋,137,consumer
NS-006,Synthetic Social,2026-07-03,2026-06-06,Kairo Running,brand,可靠是可靠，但很难说出它有什么性格,126,consumer
NS-007,Synthetic Social,2026-07-03,2026-06-07,Kairo Running,community,社群不吵，大家会认真回答新手问题,115,consumer
NS-008,Synthetic Social,2026-07-03,2026-06-08,Kairo Running,product,颜色太保守，希望有一双更大胆的比赛款,103,consumer
NS-009,Synthetic Social,2026-07-03,2026-06-09,Kairo Running,event,教练一直提醒慢一点反而让我安心,94,consumer
NS-010,Synthetic Social,2026-07-03,2026-06-10,Kairo Running,content,参数讲得明白但没有让我产生向往,82,consumer
NS-011,Synthetic Social,2026-07-03,2026-06-11,Kairo Running,brand,像那个永远提前十分钟到的朋友,75,consumer
NS-012,Synthetic Social,2026-07-03,2026-06-12,Kairo Running,product,我想要的是轻松，它给我的感觉更像纪律,68,consumer
NS-013,Synthetic Social,2026-07-03,2026-06-13,Kairo Running,community,女生夜跑活动的安全细节做得很好,57,consumer
NS-014,Synthetic Social,2026-07-03,2026-06-14,Kairo Running,brand,不炫耀成绩这一点很舒服,49,consumer
NS-015,Synthetic Social,2026-07-03,2026-06-15,Kairo Running,product,同价位我可能选更有设计感的品牌,42,consumer
NS-016,Synthetic Social,2026-07-03,2026-06-16,Kairo Running,event,活动结束后还有恢复课，不是只拍合照,36,consumer
NS-017,Synthetic Social,2026-07-03,2026-06-17,Kairo Running,content,如果多讲跑步中的快乐会更有人味,29,consumer
NS-018,Synthetic Social,2026-07-03,2026-06-18,Kairo Running,brand,它让我相信自己可以一直跑，但不一定跑得很快,21,consumer
