source_id,platform,export_date,published_at,brand,comment,likes,evidence_role
OG-001,Synthetic Social,2026-07-02,2026-06-01,Aster Run,看到老球场亮起来突然想起小时候和爸爸看球,520,consumer
OG-002,Synthetic Social,2026-07-02,2026-06-01,Aster Run,明星很帅但我没记住鞋叫什么,411,consumer
OG-003,Synthetic Social,2026-07-02,2026-06-02,Aster Run,不是每个人都能上场，可每个人都想有一次被看见,368,consumer
OG-004,Synthetic Social,2026-07-02,2026-06-03,Aster Run,这支片像赛事广告，不像品牌自己的话,297,consumer
OG-005,Synthetic Social,2026-07-02,2026-06-04,Aster Run,我喜欢普通女孩踢夜场的那一段，比明星真实,284,consumer
OG-006,Synthetic Social,2026-07-02,2026-06-05,Aster Run,热血是真的，买鞋的理由还是不够,251,consumer
OG-007,Synthetic Social,2026-07-02,2026-06-06,Aster Run,输球之后还一起收拾场地那幕让我破防,223,consumer
OG-008,Synthetic Social,2026-07-02,2026-06-07,Aster Run,世界杯期间所有品牌都在讲相信自己,198,consumer
OG-009,Synthetic Social,2026-07-02,2026-06-08,Aster Run,颜色很复古，我会为了穿搭买不一定为了踢球,177,consumer
OG-010,Synthetic Social,2026-07-02,2026-06-09,Aster Run,别把普通人的坚持又包装成成功学,164,consumer
OG-011,Synthetic Social,2026-07-02,2026-06-10,Aster Run,它让我想重新约朋友踢一次，不是为了赢,151,consumer
OG-012,Synthetic Social,2026-07-02,2026-06-11,Aster Run,赛事结束后品牌还会关心这些社区球场吗,139,consumer
OG-013,Synthetic Social,2026-07-02,2026-06-12,Aster Run,鞋底性能那段太短，我只看懂了情怀,126,consumer
OG-014,Synthetic Social,2026-07-02,2026-06-13,Aster Run,大城市夜场很浪漫，小地方根本没有这种条件,118,consumer
OG-015,Synthetic Social,2026-07-02,2026-06-14,Aster Run,第一次觉得不专业也可以享受足球,103,consumer
OG-016,Synthetic Social,2026-07-02,2026-06-15,Aster Run,品牌把失败拍得很体面，这点难得,96,consumer
OG-017,Synthetic Social,2026-07-02,2026-06-16,Aster Run,如果没有那位明星我可能不会点开,88,consumer
OG-018,Synthetic Social,2026-07-02,2026-06-17,Aster Run,如果只有明星我也不会看完,81,consumer
OG-019,Synthetic Social,2026-07-02,2026-06-18,Aster Run,大家怀念的不是球衣，是以前能随时叫到朋友,73,consumer
OG-020,Synthetic Social,2026-07-02,2026-06-19,Aster Run,价格公布后热爱突然有了门槛,69,consumer
OG-021,Synthetic Social,2026-07-02,2026-06-20,Aster Run,我已经下单，因为复古配色很适合日常,61,consumer
OG-022,Synthetic Social,2026-07-02,2026-06-21,Aster Run,没下单，但把球场地址收藏了,54,consumer
OG-023,Synthetic Social,2026-07-02,2026-06-22,Aster Run,活动像是在替我补一场没能参加的青春,47,consumer
OG-024,Synthetic Social,2026-07-02,2026-06-23,Aster Run,热爱不该被装备定义，这和卖鞋本身有点矛盾,39,consumer
OG-025,Synthetic Social,2026-07-02,2026-06-24,Aster Run,只要社区球场真的持续开放我就信这不是一次营销,31,consumer
