source_id,platform,export_date,published_at,category,comment,likes,evidence_role
BT-001,Synthetic Social,2026-07-05,2026-06-01,Urban Bistro,地方香草换个法文名字就能卖到八十八,620,consumer
BT-002,Synthetic Social,2026-07-05,2026-06-02,Urban Bistro,我愿意为新味道付钱但不想为摆盘故事付钱,541,consumer
BT-003,Synthetic Social,2026-07-05,2026-06-03,Urban Bistro,木桌蜡烛自然酒已经像统一装修模板,477,consumer
BT-004,Synthetic Social,2026-07-05,2026-06-04,Urban Bistro,以前嫌地方菜土现在切小份就成了灵感菜单,426,consumer
BT-005,Synthetic Social,2026-07-05,2026-06-05,Urban Bistro,店员能讲产地但说不清当地人怎么吃,388,consumer
BT-006,Synthetic Social,2026-07-05,2026-06-06,Urban Bistro,我喜欢小份因为可以尝很多种不是因为精致,351,consumer
BT-007,Synthetic Social,2026-07-05,2026-06-07,Urban Bistro,别把地方食材做成只有城市中产看得懂的暗号,319,consumer
BT-008,Synthetic Social,2026-07-05,2026-06-08,Urban Bistro,第一次吃这种香草确实惊喜价格也确实夸张,287,consumer
BT-009,Synthetic Social,2026-07-05,2026-06-09,Urban Bistro,如果农户能多分到钱贵一点我可以接受,263,consumer
BT-010,Synthetic Social,2026-07-05,2026-06-10,Urban Bistro,没有故事也很好吃，为什么每道菜都要讲十分钟,241,consumer
BT-011,Synthetic Social,2026-07-05,2026-06-11,Urban Bistro,我来约会需要氛围，不只是填饱肚子,218,consumer
BT-012,Synthetic Social,2026-07-05,2026-06-12,Urban Bistro,所谓山野感最后还是空调房里的安全冒险,196,consumer
BT-013,Synthetic Social,2026-07-05,2026-06-13,Urban Bistro,地方味道被做得太干净反而少了记忆点,174,consumer
BT-014,Synthetic Social,2026-07-05,2026-06-14,Urban Bistro,别一概说是智商税，研发和损耗也是真成本,156,consumer
BT-015,Synthetic Social,2026-07-05,2026-06-15,Urban Bistro,菜单直接写产地采购价和农户分成我会更信,139,consumer
BT-016,Synthetic Social,2026-07-05,2026-06-16,Urban Bistro,想吃一顿没有拍照压力的地方菜,121,consumer
BT-017,Synthetic Social,2026-07-05,2026-06-17,Urban Bistro,我需要的是陌生但不疏离的味道,103,consumer
BT-018,Synthetic Social,2026-07-05,2026-06-18,Urban Bistro,真正的新鲜不是没见过而是重新理解熟悉的东西,88,consumer
BT-019,Synthetic Social,2026-07-05,2026-06-19,Urban Bistro,城市餐厅让地方食材被看见也可能让它失去原来的关系,72,consumer
BT-020,Synthetic Social,2026-07-05,2026-06-20,Urban Bistro,如果只是把乡土翻译成高级感这股风很快会过,59,consumer
