source_id,platform,export_date,published_at,brand,comment,likes,evidence_role
RT-001,Synthetic Social,2026-07-01,2026-06-02,FrameLab,每次都像在憋一个大项目，看着很厉害但也替团队累,182,consumer
RT-002,Synthetic Social,2026-07-01,2026-06-03,FrameLab,技术讲得很清楚，我是真的拿去工作里用了,143,consumer
RT-003,Synthetic Social,2026-07-01,2026-06-05,FrameLab,我喜欢他们认真，但最近认真得有点紧绷,96,consumer
RT-004,Synthetic Social,2026-07-01,2026-06-06,FrameLab,创始人一出现就有故事感，其他成员反而记不住,81,consumer
RT-005,Synthetic Social,2026-07-01,2026-06-08,FrameLab,别替有能力的人担心，人家可能就享受把事情做大,67,consumer
RT-006,Synthetic Social,2026-07-01,2026-06-10,FrameLab,器材越来越贵，普通人能跟着学的部分变少了,59,consumer
RT-007,Synthetic Social,2026-07-01,2026-06-12,FrameLab,不是轻松型频道，但这种不敷衍让我信任,55,consumer
RT-008,Synthetic Social,2026-07-01,2026-06-14,FrameLab,团队越大越像公司，少了以前一起折腾的亲近感,48,consumer
RT-009,Synthetic Social,2026-07-01,2026-06-16,FrameLab,别只讲梦想，也想知道产品到底值不值,41,consumer
RT-010,Synthetic Social,2026-07-01,2026-06-18,FrameLab,我看的是制作知识，不关心创始人的生活状态,35,consumer
RT-011,Synthetic Social,2026-07-01,2026-06-20,FrameLab,大制作证明了能力，小教程才让我觉得品牌懂我,28,consumer
RT-012,Synthetic Social,2026-07-01,2026-06-22,FrameLab,有些批评只是把个人选择想象成悲剧,22,consumer
RT-013,Synthetic Social,2026-07-01,2026-06-24,FrameLab,我担心的是品牌和一个人绑得太紧,18,consumer
RT-014,Synthetic Social,2026-07-01,2026-06-26,FrameLab,只要内容还真诚，商业化本身不是问题,15,consumer
RT-015,Synthetic Social,2026-07-01,2026-06-28,FrameLab,希望下一次少一点宏大叙事，多一点普通人的办法,11,consumer
